n-grams,similarity_threshold,Scaled_F1
1,0.0,6.21
1,0.0002,6.21
1,0.0004,6.21
1,0.0006,6.21
1,0.0008,6.21
1,0.001,6.21
1,0.0012,6.21
1,0.0014,6.21
1,0.0016,6.21
1,0.0018,6.21
1,0.002,6.21
1,0.0022,6.21
1,0.0024,6.21
1,0.0026,6.21
1,0.0028,6.21
1,0.003,6.21
1,0.0032,6.21
1,0.0034,6.21
1,0.0036,6.21
1,0.0038,6.21
1,0.004,6.21
1,0.0042,6.21
1,0.0044,6.21
1,0.0046,6.21
1,0.0048,6.21
1,0.005,6.21
1,0.0052,6.21
1,0.0054,6.21
1,0.0056,6.21
1,0.0058,6.21
1,0.006,6.21
1,0.0062,6.21
1,0.0064,6.21
1,0.0066,6.21
1,0.0068,6.21
1,0.007,6.21
1,0.0072,6.21
1,0.0074,6.21
1,0.0076,6.21
1,0.0078,6.21
1,0.008,6.21
1,0.0082,6.21
1,0.0084,6.21
1,0.0086,6.21
1,0.0088,6.21
1,0.009,6.21
1,0.0092,6.21
1,0.0094,6.21
1,0.0096,6.21
1,0.0098,6.21
1,0.01,6.21
2,0.0,6.21
2,0.0002,6.21
2,0.0004,6.21
2,0.0006,6.21
2,0.0008,6.21
2,0.001,6.21
2,0.0012,6.21
2,0.0014,6.21
2,0.0016,6.21
2,0.0018,6.21
2,0.002,6.21
2,0.0022,6.21
2,0.0024,6.21
2,0.0026,6.21
2,0.0028,6.21
2,0.003,6.21
2,0.0032,6.21
2,0.0034,6.21
2,0.0036,6.21
2,0.0038,6.21
2,0.004,6.21
2,0.0042,6.21
2,0.0044,6.21
2,0.0046,6.21
2,0.0048,6.21
2,0.005,6.21
2,0.0052,6.21
2,0.0054,6.21
2,0.0056,6.21
2,0.0058,6.21
2,0.006,6.21
2,0.0062,6.21
2,0.0064,6.21
2,0.0066,6.67
2,0.0068,6.15
2,0.007,6.15
2,0.0072,6.15
2,0.0074,6.15
2,0.0076,6.15
2,0.0078,6.15
2,0.008,6.15
2,0.0082,6.15
2,0.0084,6.15
2,0.0086,6.15
2,0.0088,6.4
2,0.009,6.67
2,0.0092,6.67
2,0.0094,6.67
2,0.0096,6.67
2,0.0098,6.96
2,0.01,6.96
3,0.0,6.21
3,0.0002,6.21
3,0.0004,6.92
3,0.0006,7.2
3,0.0008,7.27
3,0.001,6.67
3,0.0012,6.0
3,0.0014,6.0
3,0.0016,6.0
3,0.0018,6.67
3,0.002,6.67
3,0.0022,6.67
3,0.0024,6.67
3,0.0026,6.25
3,0.0028,6.25
3,0.003,5.33
3,0.0032,5.33
3,0.0034,5.33
3,0.0036,5.33
3,0.0038,5.33
3,0.004,5.33
3,0.0042,5.33
3,0.0044,5.33
3,0.0046,5.33
3,0.0048,5.33
3,0.005,5.33
3,0.0052,5.33
3,0.0054,5.33
3,0.0056,5.33
3,0.0058,5.33
3,0.006,5.33
3,0.0062,5.33
3,0.0064,5.33
3,0.0066,5.33
3,0.0068,5.33
3,0.007,5.33
3,0.0072,5.33
3,0.0074,5.33
3,0.0076,5.33
3,0.0078,5.33
3,0.008,5.33
3,0.0082,5.33
3,0.0084,5.33
3,0.0086,5.33
3,0.0088,5.33
3,0.009,5.33
3,0.0092,5.33
3,0.0094,5.33
3,0.0096,5.33
3,0.0098,5.33
3,0.01,5.33
